,filename,polarity,subjectivity
0,0_paragraphs.txt,0.03638300874249366,0.32767885445285944
3,3_paragraphs.txt,-0.02827832461139411,0.25028855462399785
8,8_paragraphs.txt,0.060866215218995025,0.31530576989100245
11,11_paragraphs.txt,-0.02737766064522342,0.2271903111343699
14,14_paragraphs.txt,-0.01696711416350884,0.28243636818589357
15,15_paragraphs.txt,0.02360635644117786,0.3335492657144443
16,16_paragraphs.txt,-0.044484613563690455,0.22489284264087805
17,17_paragraphs.txt,-0.021489135414621312,0.25796723794563964
19,19_paragraphs.txt,0.016098965641638083,0.32630003047718475
22,22_paragraphs.txt,0.058781438488943336,0.3853298405266404
23,23_paragraphs.txt,0.058781438488943336,0.3853298405266404
24,24_paragraphs.txt,0.04420112288802609,0.3213297025848184
27,27_paragraphs.txt,0.015947853363026246,0.36744679065421626
30,30_paragraphs.txt,0.020591174835017486,0.3026124778341531
35,35_paragraphs.txt,0.009415158536599808,0.2690808005754624
37,37_paragraphs.txt,0.03338489533342473,0.36523247993836255
41,41_paragraphs.txt,-0.024874498957832152,0.255727272727273
72,72_paragraphs.txt,0.07222851828682493,0.36653866367923815
74,74_paragraphs.txt,0.031405592058577285,0.30306250410728025
77,77_paragraphs.txt,0.02888050879161971,0.30730275773609156
83,83_paragraphs.txt,0.08503503543528168,0.4120188992725935
84,84_paragraphs.txt,0.056540252624277275,0.33266526782346306
87,87_paragraphs.txt,0.05949055139121363,0.29833485719578423
90,90_paragraphs.txt,0.0623589942639073,0.3043575445330388
92,92_paragraphs.txt,0.045988498297086754,0.3459236912665673
96,96_paragraphs.txt,-0.011835828465354855,0.24778727591401686
98,98_paragraphs.txt,-0.008789970329296177,0.2636569183001767
101,101_paragraphs.txt,0.03452058449169362,0.3313656340235698
107,107_paragraphs.txt,0.01053570951808849,0.2751870258962769
109,109_paragraphs.txt,0.040413508837531184,0.29237258650722303
111,111_paragraphs.txt,0.0376463924873387,0.39306104580574414
113,113_paragraphs.txt,0.015063154104596585,0.2911785464266626
114,114_paragraphs.txt,0.04827467404390464,0.38356974186178866
115,115_paragraphs.txt,0.03148201345690558,0.3013103242449895
122,122_paragraphs.txt,0.030126673525872307,0.2935400161545641
128,128_paragraphs.txt,0.016121090066831833,0.2784640432064877
130,130_paragraphs.txt,0.02163446102184433,0.33482852303459804
135,135_paragraphs.txt,0.02085282941514107,0.2688489779901838
139,139_paragraphs.txt,-0.02747684045788994,0.261618059620975
144,144_paragraphs.txt,0.008492753601350956,0.30980398435149575
145,145_paragraphs.txt,0.03762745517314048,0.28199877589979105
150,150_paragraphs.txt,0.03472054524212803,0.2975416436747371
153,153_paragraphs.txt,0.06970655602158465,0.388666024352441
160,160_paragraphs.txt,0.06826650928852192,0.3944840193582332
161,161_paragraphs.txt,0.08649097347758045,0.3458139198764197
162,162_paragraphs.txt,0.024475587420709433,0.3238227944142576
165,165_paragraphs.txt,-0.0017652602580832367,0.28728494790695763
168,168_paragraphs.txt,0.057916210178710195,0.3448467282717282
169,169_paragraphs.txt,0.011473375209748018,0.32319983507297706
179,179_paragraphs.txt,-0.007323905960269601,0.3264267809722356
180,180_paragraphs.txt,0.054457422751540474,0.40059119529707765
182,182_paragraphs.txt,0.006762815893853756,0.28755815369718846
185,185_paragraphs.txt,0.03584970832354544,0.3010700750584471
188,188_paragraphs.txt,0.007586229064419716,0.261951429023319
192,192_paragraphs.txt,0.0024430194189400743,0.27074666074666104
194,194_paragraphs.txt,0.0008199726860440981,0.26064853896103873
199,199_paragraphs.txt,0.013991234103383635,0.3793281614543298
208,208_paragraphs.txt,0.043234126376461714,0.3237115404870875
218,218_paragraphs.txt,-0.0011773046075371357,0.27865166096138644
224,224_paragraphs.txt,0.06712377780265714,0.3760256194954468
225,225_paragraphs.txt,0.04268860882707038,0.3472072645303417
227,227_paragraphs.txt,0.0221059470832199,0.3010521660158026
