published_at,like_count,text
2021-06-13T03:02:43Z,0,Weg met de rat! Weg met rot ei! Weg met kots! Weg met het afval van Sulfus! Weggerrrr!!!!!
2021-05-14T05:41:53Z,8,"Net alle afleveringen tot dusver gekeken, erg leuke serie :) ik woon zelf in Indonesië waar ze het afval nog gewoon in de fik steken om zo geen afval belasting te hoeven betalen... misschien kan kunnen jullie de volgende keer een aflevering maken met de lokale omroep can Jogjakarta 😂😬"
