"Bedrijfsafvalstoffen";"Nuttige toepassing en eindverwerking";"Bedrijfstakken/branches (SBI 2008)";"Perioden";"Bedrijfsafval (1 000 ton)"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"19-22 Raffinaderijen en chemie";"2017";"    1469"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"19-22 Raffinaderijen en chemie";"2018";"    1227"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"19-22 Raffinaderijen en chemie";"2019";"    1184"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"19-22 Raffinaderijen en chemie";"2020";"    1135"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"19-22 Raffinaderijen en chemie";"2021*";"    1180"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"20-21 Chemie en farmaceutische industrie";"2007";"    1224"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"20-21 Chemie en farmaceutische industrie";"2008";"    1216"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"20-21 Chemie en farmaceutische industrie";"2009";"     856"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"20-21 Chemie en farmaceutische industrie";"2010";"     912"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"20-21 Chemie en farmaceutische industrie";"2015";"     511"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"20-21 Chemie en farmaceutische industrie";"2016";"     607"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"20-21 Chemie en farmaceutische industrie";"2017";"     702"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"20-21 Chemie en farmaceutische industrie";"2018";"     569"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"20-21 Chemie en farmaceutische industrie";"2019";"     543"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"20-21 Chemie en farmaceutische industrie";"2020";"     536"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"20-21 Chemie en farmaceutische industrie";"2021*";"     541"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"24-30, 33 Metalektro";"2007";"       ."
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"24-30, 33 Metalektro";"2008";"    3541"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"24-30, 33 Metalektro";"2009";"    2508"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"24-30, 33 Metalektro";"2010";"    2456"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"24-30, 33 Metalektro";"2015";"    2410"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"24-30, 33 Metalektro";"2016";"    2457"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"24-30, 33 Metalektro";"2017";"    2629"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"24-30, 33 Metalektro";"2018";"    2515"
