,filename,polarity,subjectivity
0,0_discussion.txt,0.07380952380952381,0.30214285714285716
3,3_discussion.txt,-0.037666666666666654,0.257
5,5_discussion.txt,0.0454721888755502,0.28398959583833533
6,6_discussion.txt,0.07222222222222223,0.21944444444444444
7,7_discussion.txt,0.0454721888755502,0.28398959583833533
8,8_discussion.txt,0.05366810156135999,0.35457950289410956
15,15_discussion.txt,0.0948055278055278,0.3223456543456544
16,16_discussion.txt,-0.08198924731182797,0.22768817204301076
17,17_discussion.txt,0.01570586820586821,0.2529238816738817
20,20_discussion.txt,0.029798850574712654,0.3090886699507389
21,21_discussion.txt,-0.06964285714285713,0.1392857142857143
22,22_discussion.txt,0.04656055326787035,0.39308415162073695
23,23_discussion.txt,0.07222222222222223,0.21944444444444444
24,24_discussion.txt,0.03304522054522055,0.32830817830817827
28,28_discussion.txt,0.029798850574712654,0.3090886699507389
30,30_discussion.txt,-0.10879629629629627,0.34379629629629627
32,32_discussion.txt,0.03304522054522055,0.32830817830817827
33,33_discussion.txt,0.033568948412698425,0.2657242063492064
36,36_discussion.txt,0.008598586947643549,0.38566446132483867
38,38_discussion.txt,0.03639941690962101,0.32760932944606413
44,44_discussion.txt,0.12,0.48
48,48_discussion.txt,-0.016666666666666663,0.08333333333333331
67,67_discussion.txt,-0.0467521367521368,0.3944017094017095
76,76_discussion.txt,0.02868480725623583,0.41666666666666674
80,80_discussion.txt,-0.01964285714285715,0.24672619047619046
85,85_discussion.txt,0.021293983793983794,0.36490037740037745
91,91_discussion.txt,0.04664148351648352,0.4046336996336997
94,94_discussion.txt,0.03124579124579126,0.3316835016835017
108,108_discussion.txt,-0.04775419982316534,0.39236390046734876
114,114_discussion.txt,-0.0611111111111111,0.19166666666666665
115,115_discussion.txt,0.17193526170798898,0.4436565328610783
117,117_discussion.txt,0.09632275132275132,0.43970899470899477
118,118_discussion.txt,0.09632275132275132,0.43970899470899477
119,119_discussion.txt,0.09632275132275132,0.43970899470899477
121,121_discussion.txt,0.0014545454545454516,0.14984848484848487
127,127_discussion.txt,0.019999999999999997,0.12
138,138_discussion.txt,-0.02038327526132404,0.30926248548199764
139,139_discussion.txt,-0.02038327526132404,0.30926248548199764
141,141_discussion.txt,0.08333333333333333,0.3363636363636364
143,143_discussion.txt,0.12350532350532348,0.3712940212940213
