"Bedrijfsafvalstoffen";"Nuttige toepassing en eindverwerking";"Bedrijfstakken/branches (SBI 2008)";"Perioden";"Bedrijfsafval (1 000 ton)"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"13-15 Textiel-, kleding-, lederindustrie";"2021*";"      59"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"16+23 Hout- en bouwmaterialenindustrie";"1994";"    1036"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"16+23 Hout- en bouwmaterialenindustrie";"1996";"    1061"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"16+23 Hout- en bouwmaterialenindustrie";"1998";"    1117"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"16+23 Hout- en bouwmaterialenindustrie";"2000";"    1435"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"16+23 Hout- en bouwmaterialenindustrie";"2001";"    1270"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"16+23 Hout- en bouwmaterialenindustrie";"2002";"    1262"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"16+23 Hout- en bouwmaterialenindustrie";"2003";"    1197"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"16+23 Hout- en bouwmaterialenindustrie";"2004";"    1080"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"16+23 Hout- en bouwmaterialenindustrie";"2005";"    1125"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"16+23 Hout- en bouwmaterialenindustrie";"2006";"    1145"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"16+23 Hout- en bouwmaterialenindustrie";"2007";"    1136"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"16+23 Hout- en bouwmaterialenindustrie";"2008";"    1191"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"16+23 Hout- en bouwmaterialenindustrie";"2009";"     995"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"16+23 Hout- en bouwmaterialenindustrie";"2010";"     963"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"16+23 Hout- en bouwmaterialenindustrie";"2011";"    1032"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"16+23 Hout- en bouwmaterialenindustrie";"2012";"     914"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"16+23 Hout- en bouwmaterialenindustrie";"2013";"     846"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"16+23 Hout- en bouwmaterialenindustrie";"2014";"     818"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"16+23 Hout- en bouwmaterialenindustrie";"2015";"     834"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"16+23 Hout- en bouwmaterialenindustrie";"2016";"     705"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"16+23 Hout- en bouwmaterialenindustrie";"2017";"     750"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"16+23 Hout- en bouwmaterialenindustrie";"2018";"     665"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"16+23 Hout- en bouwmaterialenindustrie";"2019";"     688"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"16+23 Hout- en bouwmaterialenindustrie";"2020";"     629"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"16+23 Hout- en bouwmaterialenindustrie";"2021*";"     640"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"17-18 Papier- en grafische industrie";"1994";"    1034"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"17-18 Papier- en grafische industrie";"1996";"    1012"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"17-18 Papier- en grafische industrie";"1998";"    1143"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"17-18 Papier- en grafische industrie";"2000";"    1256"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"17-18 Papier- en grafische industrie";"2001";"    1208"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"17-18 Papier- en grafische industrie";"2002";"    1206"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"17-18 Papier- en grafische industrie";"2003";"    1230"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"17-18 Papier- en grafische industrie";"2004";"    1182"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"17-18 Papier- en grafische industrie";"2005";"    1153"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"17-18 Papier- en grafische industrie";"2006";"    1166"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"17-18 Papier- en grafische industrie";"2007";"    1167"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"17-18 Papier- en grafische industrie";"2008";"    1028"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"17-18 Papier- en grafische industrie";"2009";"     922"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"17-18 Papier- en grafische industrie";"2010";"     955"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"17-18 Papier- en grafische industrie";"2011";"     965"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"17-18 Papier- en grafische industrie";"2012";"     844"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"17-18 Papier- en grafische industrie";"2013";"     843"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"17-18 Papier- en grafische industrie";"2014";"     824"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"17-18 Papier- en grafische industrie";"2015";"     833"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"17-18 Papier- en grafische industrie";"2016";"     806"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"17-18 Papier- en grafische industrie";"2017";"     820"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"17-18 Papier- en grafische industrie";"2018";"     834"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"17-18 Papier- en grafische industrie";"2019";"     823"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"17-18 Papier- en grafische industrie";"2020";"     789"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"17-18 Papier- en grafische industrie";"2021*";"     835"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"19-22 Raffinaderijen en chemie";"1994";"    3241"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"19-22 Raffinaderijen en chemie";"1996";"    3378"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"19-22 Raffinaderijen en chemie";"1998";"    3267"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"19-22 Raffinaderijen en chemie";"2000";"    2329"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"19-22 Raffinaderijen en chemie";"2001";"    1986"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"19-22 Raffinaderijen en chemie";"2002";"    1810"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"19-22 Raffinaderijen en chemie";"2003";"    1815"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"19-22 Raffinaderijen en chemie";"2004";"    1783"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"19-22 Raffinaderijen en chemie";"2005";"    1831"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"19-22 Raffinaderijen en chemie";"2006";"    1861"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"19-22 Raffinaderijen en chemie";"2007";"    1898"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"19-22 Raffinaderijen en chemie";"2008";"    1831"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"19-22 Raffinaderijen en chemie";"2009";"    1465"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"19-22 Raffinaderijen en chemie";"2010";"    1508"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"19-22 Raffinaderijen en chemie";"2011";"    1636"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"19-22 Raffinaderijen en chemie";"2012";"    1517"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"19-22 Raffinaderijen en chemie";"2013";"    1209"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"19-22 Raffinaderijen en chemie";"2014";"    1299"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"19-22 Raffinaderijen en chemie";"2015";"    1239"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"19-22 Raffinaderijen en chemie";"2016";"    1418"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"19-22 Raffinaderijen en chemie";"2017";"    1469"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"19-22 Raffinaderijen en chemie";"2018";"    1227"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"19-22 Raffinaderijen en chemie";"2019";"    1184"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"19-22 Raffinaderijen en chemie";"2020";"    1135"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"19-22 Raffinaderijen en chemie";"2021*";"    1180"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"20-21 Chemie en farmaceutische industrie";"1994";"    2632"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"20-21 Chemie en farmaceutische industrie";"1996";"    2785"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"20-21 Chemie en farmaceutische industrie";"1998";"    2646"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"20-21 Chemie en farmaceutische industrie";"2000";"    1687"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"20-21 Chemie en farmaceutische industrie";"2001";"    1310"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"20-21 Chemie en farmaceutische industrie";"2002";"    1253"
