published_at,updated_at,like_count,text
2022-06-09T23:51:11Z,2022-06-09T23:51:11Z,0,"gewoon voor je en vasthouden die tas, maar ja, ik ben Amsterdammer he"
2022-06-09T19:08:05Z,2022-06-09T19:08:05Z,2,"Best bizar hoe de meeste mensen zo nonchalant zijn met hun spullen. Dit is te makkelijk, geen wonder dat er zoveel zakkenrollers actief zijn in Amsterdam…"
2022-06-09T13:44:00Z,2022-06-09T13:44:00Z,52,"Kijk hoe makkelijk dit gaat, mensen zijn zo gefocust op andere dingen dat ze niks door hebben.Zo zie je maar weer, hoe voorzichtig en op je hoede moet zijn, binnen no time is je eigendom gejat, en vooral in zulke drukke steden als Amsterdam, Utrecht etc."
